segment	oral	vfca	nasal	larynx	ac.1	ac.2	ac.3	ac.4	ac.5	ac.6	ac.7	ac.8	ac.9	ac.10	ac.11	ac.12	ac.13	ac.14	ac.15	ac.16	vt.1	vt.2	vt.3	vt.4	vt.5	vt.6	vt.7	vt.8	vt.9	vt.10	vt.11	vt.12	vt.13	vt.14	vt.15	vt.16
k	-0.6162181737	-0.9396982189	-0.5639656192	0.20084312	-0.2557011822	2.2492131174	1.7315555226	1.5674515652	0.1098839624	-0.6353389286	-0.1770925766	-0.3623587194	0.5469355088	0.156547441	0.1178359707	0.0846429764	0.2268558048	0.143935115	0.2067309166	-0.4749874195	-0.2590978355	9.2097526249	-5.5937541199	0.8214069597	-1.6402997225	1.5928762075	-2.0673279107	0.0557913479	-0.0752817103	0.3725344271	0.0903363715	-0.7184336948	0.3787947892	0.3136739397	0.138536183	0.5094391136
kʷ	-0.5440712707	-0.5087882945	-0.5686421342	0.5021715656	0.3273114888	-0.1061153709	2.7033340102	1.7721893936	0.2207328391	0.2008768118	-0.2730173947	0.4054768465	-0.1614548373	0.6126581609	0.1363622693	-0.1818807404	-0.0683068181	0.2369183984	0.0520337502	0.0115079293	-2.9166604127	5.4949829241	-5.2956978553	0.2590410209	0.274722533	-1.267433178	-0.5129983172	-0.58000539	-0.5627977753	0.5824730765	-0.5993017809	-1.1607755097	1.0216389564	0.1473776326	1.2006181194	0.3173876658
l	-0.2375523704	0.71406123	-0.1933954722	0.0416834515	3.3599239589	-0.4554796638	-1.2676799853	-0.80074285	0.0538487235	0.4875575835	-0.4979315411	-0.3013420391	-0.8567876562	-0.4445296633	0.1157452731	0.1234736982	0.0243560807	-0.1084319599	0.3318411191	-0.381389307	-1.402402027	-1.9907275196	-0.5654199122	0.2246414506	-1.5952783765	0.0868345267	0.2660258513	1.0007233143	-0.7496789419	0.0565455952	-0.0447342912	-0.0429004276	-0.2499789241	-0.5182515749	-0.0813098974	0.1957457864
m	-0.870273588	0.6682054301	2.7704505149	-0.1243471382	4.6652027686	-3.185322397	-0.4119377993	0.2166366982	1.165275131	0.0064441123	-0.0329919217	0.3627273675	0.5594644354	-0.3906504013	0.2687865887	-0.1460061923	0.7727995857	-0.1968289772	-0.3122557408	0.248924191	-3.3145751986	-0.2520872882	0.3560608286	-5.1744777916	2.8399361848	0.5769037854	-0.6396280444	0.5207057003	-0.2448431787	0.7592014946	-0.0875535618	0.3410906625	-0.0226689896	0.2714386487	0.0316330709	-0.0993537307
n	-0.8601758128	0.5519954274	2.7128191894	0.205934596	4.04716438	-2.3285491358	-1.7690224006	0.108502252	1.0535630073	-0.0954891142	0.3703142234	-0.0071823356	0.8544863028	-0.2332853323	0.1225936122	-0.4550139706	0.5196034501	0.0290777446	0.1623532429	0.3719236534	1.5928021397	-3.9503065165	-1.2097261388	0.548977092	-1.7187577281	0.2969273213	-0.2882133475	0.8305152152	-0.4933331635	0.7880546921	-0.2149530143	0.3087067907	-0.1511863179	-0.0857578903	0.1257406064	0.0857135135
ŋ	-0.853678752	0.6687212248	3.0279969325	-0.154464136	4.2400101679	-3.2238765844	-0.9676398542	0.6693724224	1.2805390236	-0.1829569384	0.1082957939	0.0488223335	0.6682898741	-0.1252685069	0.0093337573	-0.4078980198	0.4197617691	0.1035154784	0.036753411	0.2492226613	-2.4700853582	5.8354324142	-3.4649650837	0.5142829156	-1.3209140049	-0.5707207961	-0.8687006437	0.113706446	0.034397194	0.3296281401	0.0608763886	-6.86E-005	0.0673542946	0.0441873466	0.0065814756	0.1513938447
o	-0.4348923531	0.4785975366	-0.130944935	0.0600979731	3.3317552579	-1.698892495	1.7875796935	-0.7087029982	-0.1396619094	1.1257984491	-0.1162092481	0.6148128849	0.1634580063	-0.3019136298	0.1111251128	-0.1048746666	-0.3813190967	0.4977715225	-0.2509617797	-0.1664475455	-5.0927613109	0.7402572143	0.2051295341	2.3253126578	1.6853027972	-0.4931852951	1.7736104309	0.7712616313	-0.2838555756	-0.6110313879	-0.0037514745	0.2362430562	-0.1051795442	-0.1273669138	-0.2668780631	0.2776642276
ɔ	-0.395693261	0.6642378584	-0.094883378	-0.0097440137	2.2953759875	-2.8909751986	2.3085283405	-0.6285614251	-0.6256701535	0.730963268	0.3247815355	-0.1098191837	-0.1756326001	-0.4038753256	0.5171186481	-0.4016543001	-0.1189133429	0.0840738822	-0.1357118937	-0.1981409928	-11.5444954706	-0.135770819	1.3312310548	4.8451833998	2.8923259164	2.8045439823	-1.0988108418	0.2142661539	0.9966834606	0.1314881586	-0.9379075695	0.7774099549	-0.0296200474	-0.5099130318	0.2131476686	0.1391603022
p	-0.7150663805	-1.0225146417	-0.5515463606	0.0777800433	0.5280449569	2.6033301579	1.9328325229	1.0397096813	0.0412270496	0.600235088	-0.449546138	0.478672653	-0.3676125368	0.3734730214	0.4109069693	0.0691103692	0.3116821941	-0.1743461491	0.2702416861	0.0123677878	-3.2960208166	-0.3524891113	0.0985400686	-5.9082530964	3.5185029955	0.7766212858	-0.6634912612	0.5007679975	-0.2673217886	0.8515696953	-0.0916736634	0.3886575137	-0.0428334456	0.4815797722	0.0192524229	-0.1722620658
r	1.112126469	2.0142733421	-0.3139270957	-0.0481696584	1.691241803	0.8021097035	-0.5654099713	-1.1728605653	-0.412664073	-0.3134321874	0.7016456736	-0.3279307294	-0.7125211885	-0.0307035867	-0.5349071458	0.2655973981	-0.791043895	0.1825991536	-0.6340733783	0.3934720967	-4.3203658501	-0.0507320126	-1.0180990581	3.6323962079	2.3086651024	0.4984013486	-0.029960683	0.5270319458	0.8197484886	0.1136640932	0.4701179317	-0.438125164	-0.29541851	0.629398472	-0.2749597548	-0.193028973
s	1.0423845567	-1.0793427636	-0.3767341235	0.4501846621	-11.9527862565	-2.9166099399	1.2721834784	-0.9656349769	1.0166948532	0.9365580683	-0.1520561818	-1.0007152859	0.0921260981	0.5060722914	-0.0011583329	0.1171126202	-0.4644469265	0.1544890589	0.2616810474	0.0150057929	2.3130339737	-5.0757669535	-2.6609443302	0.1513764279	-0.1646437593	0.7109002181	0.4694788082	0.7333070383	0.012747987	-0.0311219022	-0.253931647	-0.4911489906	0.7271658754	-0.5560221381	-0.4438053305	-0.0303748
t	-0.452023543	-0.9630584294	-0.4831453056	-0.1578497576	-1.1778504784	3.2179903757	0.2985462357	1.3008009071	-0.8477009797	0.6063050278	0.0237701102	-0.0032269453	0.0427728023	0.0796235072	0.3733495893	-0.0574586978	0.2531836859	0.0897142429	0.490514898	-0.0509190538	4.9884695449	-4.9241283375	-3.170713371	0.857126656	0.1789790789	0.8849501348	0.5742621067	-0.447439866	0.1139798386	-0.124695967	-0.0577593331	0.24870325	0.3089884322	0.3189335368	-0.1053492872	0.1339191472
tʃ	0.0752149007	-0.9908061417	-0.4129733174	0.4267667607	-7.9846665911	-0.2273956671	-0.4034671554	1.0999375789	-1.1265441453	-0.3779215761	0.3514695704	0.685997441	0.3900449187	-0.831418419	0.2054918439	-0.1201143676	0.1084090129	-0.1134314586	0.0272896906	-0.1266302817	8.9753968242	-4.5296446262	-1.3815728275	0.9448576485	0.6527270475	-0.4406553156	-0.5012667534	1.7670869155	-0.553880261	0.6797034997	-0.5448104799	0.3616147022	0.1403676358	-0.7715808439	0.3725844164	0.228247257
ts	-0.324169134	-1.1143063546	-0.4142604858	0.6730641501	-9.4030080038	-0.6931956977	1.101462498	0.7645061583	0.437181666	1.4804616493	0.1188533178	-1.2510899033	0.3364182621	0.2388214768	0.0384700869	0.1219128624	0.0111782945	-0.1314854929	-0.0762156029	-0.4232790136	4.7498211258	-7.4970107758	-4.6552081146	0.161302075	-0.1601532951	1.5100730816	0.3757931475	-0.996906573	-0.4466679211	-0.598552875	-0.0795452088	0.3202325701	-0.0947026864	1.0765939474	0.0396873852	-0.8008002801
u	-0.3545031216	0.3329142936	-0.1189780037	0.217599277	3.5105684459	-0.227020021	0.5547116571	-0.0839520201	0.9806416749	1.1965573698	-0.4175920719	0.7743188975	0.1037595167	-0.6026633896	-0.279430261	-0.2176627892	-0.5278396206	0.2491639089	-0.1602972585	-0.076037309	-3.3211692402	3.566347597	-3.7804751477	-0.7100765337	0.008520089	-1.8026692833	1.2359389294	-0.6524597375	-0.1562416418	0.0629940477	0.4626996758	0.6267488181	-0.3767861444	-0.0077178566	-0.7404787795	0.6586721751
v	0.4662466659	0.2896914599	-0.2916180022	-0.3559261693	0.5969666384	2.936420794	0.562275571	-1.4031179901	1.02955143	0.4987108534	-0.0279938763	0.2995685979	-0.4182356046	0.362300262	-0.8105168589	0.1919305425	0.5436973568	0.092601797	-0.3773957192	0.2038935937	-3.0091910304	-0.3159634039	0.3898893806	-2.2842081652	0.4609095711	0.2564913093	0.1093597308	-0.6218599548	0.4463862353	-0.6946970575	0.2125512493	-0.5493292779	-0.1487131645	-0.6337964046	-0.0660414278	0.3327144419
w	-0.2892962298	0.6725691099	-0.2959726067	0.0059219546	4.0512626475	-1.3452594412	1.1020485861	0.5867592497	0.7464714393	0.6561753852	-1.1594801199	0.3859185261	-0.8636583303	-0.5282109198	0.0014510487	-0.0641121164	-0.356618257	0.0790558114	-0.3224557105	0.0466085298	-3.6389448429	1.2088577042	-0.8755698011	-0.6839583752	1.0347946098	-1.5207293947	2.0139886485	-0.0891972356	-0.4491767802	-0.5632363726	0.163132402	-0.4127976672	-0.225569799	0.4000574576	-0.1825768086	0.2784128723
x	2.3664835013	-0.7033732626	-0.293770021	0.2346061688	-2.8234275796	0.5324482396	2.1890172074	-0.9003005898	0.6029597835	-2.1859002879	0.0158597194	-0.3180336255	0.7626852594	-0.3754281997	-0.013384412	6.81E-006	-0.7015517416	-0.4751966193	0.0023253839	0.0226604327	-3.1540023619	2.3222960504	-0.4129984912	0.0047107274	-1.7047479922	-0.2415988911	-0.4801207552	-0.220062636	0.305647278	0.0595878682	0.1906458077	0.7564453874	-0.0945643323	-0.2349314007	-0.2048706062	0.0429934874
z	0.3263178866	0.4844933537	-0.313834712	-0.7271854242	-5.3757370679	-0.0319291919	-0.9843514074	-1.7379342086	1.5030523853	1.2013914727	-0.4441017873	-1.0506917153	-0.4751774786	0.0827401444	-0.2826911337	0.3533237438	-0.1831249708	-0.0305306683	0.5075126238	0.4669544985	2.4758915428	-5.2839471876	-2.953460671	0.2183677298	-0.1753381321	0.6103894199	0.5958455199	0.8436388045	-0.2877634781	0.2026766011	-0.3512609586	0.1033540487	0.2347442177	-0.258985449	-0.0708145499	0.3038575758
